party_id,party_name,index,ect_party_id,is_active
1,พรรคประชาธิปัตย์,1,001,true
2,พรรคประชากรไทย,1,002,true
3,พรรคกิจสังคม,1,003,false
4,พรรคมหาชน,1,004,false
5,พรรคคนขอปลดหนี้,1,005,false
6,พรรคกสิกรไทย,1,006,false
7,พรรคกฤษไทยมั่นคง,1,007,false
8,พรรคชีวิตที่ดีกว่า,1,008,false
9,พรคคสยาม,1,009,false
10,พรรคสหกรณ์,1,010,false
11,พรรคเพื่อฟ้าดิน,2,010,false
12,พรรคทางเลือกใหม่,1,012,false
13,พรรคความหวังใหม่,1,013,true
14,พรรคเพื่อนเกษตรไทย,1,014,false
15,พรรคพลังเกษตร,1,016,false
16,พรรคประชาราช,1,017,false
17,พรรคดำรงไทย,1,018,false
18,พรรคเครือข่ายชาวนาแห่งประเทศไทย,1,022,true
19,พรรครักเมืองไทย,1,023,false
20,พรรคพลังแผ่นดินไท,1,024,false
21,พรรคอาสามาตุภูมิ,2,024,false
22,พรรคชาติสามัคคี,1,027,false
23,พรรคเพื่อไทย,1,034,true
24,พรรคเพื่อแผ่นดิน,1,041,false
25,พรรคอธิปไตย,1,042,false
26,พรรครวมใจไทยชาติพัฒนา,1,045,false
27,พรรครวมชาติพัฒนา,2,045,false
28,พรรคชาติพัฒนาเพื่อแผ่นดิน,3,045,false
29,พรรคชาติพัฒนา,4,045,false
30,พรรคชาติพัฒนากล้า,5,045,true
31,พรรคแทนคุณแผ่นดิน,1,053,false
32,พรรคสาธารณชน,1,054,false
33,พรรคชาติไทยพัฒนา,1,055,true
34,พรรคอนาคตไทย,1,056,true
35,พรรคเทียนแห่งธรรม,1,057,false
36,พรรคอนุรักษ์นิยม,1,058,false
37,พรรคธรรมาภิบาลสังคม,1,059,false
38,พรรคสุวรรณภูมิ,1,060,false
39,พรรคพลังไทย,1,061,false
40,พรรคราษฎร,1,062,false
41,พรรคมาตุภูมิ,2,062,false
42,พรรคภูมิใจไทย,1,063,true
43,พรรคเพื่อประชาชน,1,064,false
44,พรรคพอเพียง,1,065,false
45,พรรคต้นตระกูลไทย,1,066,false
46,พรรครักประเทศไทย,2,066,false
47,พรรคเงินเดือนประชาชน,1,067,false
48,พรรคธรรมาธิปัตย์,1,068,false
49,พรรคประชาสันติ,2,068,false
50,พรรคขัตติยะธรรม,1,069,false
51,พระประภาภิวัฒน์,1,070,false
52,พรรคแนวร่วมมาตุภูมิ,1,071,false
53,พรรคพลังพัฒนา,1,072,false
54,พรรคประชาธรรม,1,073,false
55,พรรครวมไทยพัฒนา,1,074,false
56,พรรคปวงชนชาวไทย,1,075,false
57,พรรคการเมืองใหม่,1,076,false
58,พรรคสังคมประชาธิปไตยไทย,2,076,true
59,พรรครัฐไทย,1,077,false
60,พรรคไทยรวมพลัง,2,077,false
61,พรรคไทยรักษาชาติ,3,077,false
62,พรรคคนไทยสามัคคี,1,078,false
63,พรรคครูไทยเพื่อประชาชน,1,079,false
64,พรรคภพไท,1,080,false
65,พรรคสยามธรรมาธิปไตย,1,081,false
66,พรรคพลังคนกีฬา,1,082,false
67,พรรคประชาธิปไตย,1,083,false
68,พรรคประชาธิปไตยใหม่,2,083,false
69,พรรคธรรมสังคม,1,084,false
70,พรรคเทิดไทย,1,085,false
71,พรรคแนวร่วมสังคมประชาธิปไตย,1,086,false
72,พรรคนิติภูมิไทย,1,087,false
73,พรรคเสรีนิยม,1,088,false
74,พรรครักประเทศไทย,1,089,false
75,พรรคไทยพอเพียง,1,090,false
76,พรรคประชาสามัคคี,1,091,true
77,พรรคเราเพื่อนกัน,1,092,false
78,พรรคชาวนาไทย,1,093,false
79,พรรคไทยเข้มแข็ง,1,094,false
80,พรรคไทยทันทุน,1,095,false
81,พรรคมหารัฐพัฒนา,1,096,false
82,พรรคไทยมหารัฐพัฒนา,2,096,false
83,พรรคไทยเพื่อไทย,1,097,false
84,พรรคเพื่อธรรม,1,098,false
85,พรรคไทยสร้างสรรค์,1,099,false
86,พรรคไทยเป็นสุข,1,100,false
87,พรรคบำรุงเมือง,1,101,false
88,พรรคพลานุภาพ,1,102,false
89,พรรคประชาธิปไตยใหม่,1,109,true
