doc_id,title,first_name,last_name,position,document_submitted_type,submitted_date,additional_submitted_date,disclosure_announcement_date,disclosure_start_date,disclosure_end_date,pdf_disclosure_location_url,nacc_id
936,นางสาว,ภคอร,จันทรคณา,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,2023-03-03,,2023-06-19,2023-06-23,2023-12-19,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/ภคอร_จันทรคณา_สมาชิกสภาผู้แทนราษฎร_(ส.ส.)_กรณีพ้นจากตำแหน่ง_23_มิ.ย._2566.pdf,807
937,นาย,ฐาปกรณ์,กุลเจริญ,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,2023-03-20,,2023-06-19,2023-06-23,2023-12-19,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/ฐาปกรณ์_กุลเจริญ_สมาชิกสภาผู้แทนราษฎร_(ส.ส.)_กรณีพ้นจากตำแหน่ง_23_มิ.ย._2566.pdf,808
938,นาย,จิรายุ,ห่วงทรัพย์,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,2023-03-20,,2023-06-19,2023-06-23,2023-12-19,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/จิรายุ_ห่วงทรัพย์_สมาชิกสภาผู้แทนราษฎร_(ส.ส.)_กรณีพ้นจากตำแหน่ง_23_มิ.ย._2566.pdf,809
939,นาย,รณเทพ,อนุวัฒน์,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,2023-02-24,,2023-06-19,2023-06-23,2023-12-19,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/รณเทพ_อนุวัฒน์_สมาชิกสภาผู้แทนราษฎร_(ส.ส.)_กรณีพ้นจากตำแหน่ง_23_มิ.ย._2566.pdf,810
940,นาย,ประสิทธิ์,มะหะหมัด,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,2023-02-24,,2023-06-19,2023-06-23,2023-12-19,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/ประสิทธิ์_มะหะหมัด_สมาชิกสภาผู้แทนราษฎร_(ส.ส.)_กรณีพ้นจากตำแหน่ง_23_มิ.ย._2566.pdf,811
941,นาย,ภาสกร,เงินเจริญกุล,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,2023-03-01,,2023-06-19,2023-06-23,2023-12-19,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/ภาสกร_เงินเจริญกุล_สมาชิกสภาผู้แทนราษฎร_(ส.ส.)_กรณีพ้นจากตำแหน่ง_23_มิ.ย._2566.pdf,812
942,นาย,ครูมานิตย์,สังข์พุ่ม,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,2023-03-20,,2023-06-19,2023-06-23,2023-12-19,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/ครูมานิตย์_สังข์พุ่ม_สมาชิกสภาผู้แทนราษฎร_(ส.ส.)_กรณีพ้นจากตำแหน่ง_23_มิ.ย._2566.pdf,813
943,นาย,พีระเพชร,ศิริกุล,สมาชิกสภาผู้แทนราษฎร (ส.ส.) พรรคเพื่อไทย,กรณีพ้นจากตำแหน่ง,2023-03-20,,2023-06-15,2023-06-23,2023-12-19,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/พีระเพชร_ศิริกุล_สมาชิกสภาผู้แทนราษฎร_(ส.ส.)_พรรคเพื่อไทย_กรณีพ้นจากตำแหน่ง_23_มิ.ย._2566.pdf,814
944,นาย,มนูญ,สิวาภิรมย์รัตน์,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,2023-03-20,,2023-06-19,2023-06-23,2023-12-19,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/มนูญ_สิวาภิรมย์รัตน์_สมาชิกสภาผู้แทนราษฎร_(ส.ส.)_กรณีพ้นจากตำแหน่ง_23_มิ.ย._2566.pdf,815
945,นาย,จารึก,ศรีอ่อน,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,2023-03-01,,2023-06-19,2023-06-23,2023-12-19,https://storage.googleapis.com/act_datacatalog/corrupt0/co_003/001/pdf/pdf/จารึก_ศรีอ่อน_สมาชิกสภาผู้แทนราษฎร_(ส.ส.)_กรณีพ้นจากตำแหน่ง_23_มิ.ย._2566.pdf,816
